Country Code,Short Name,Table Name,Long Name,2-alpha code,Currency Unit,Special Notes,Region,Income Group,WB-2 code,National accounts base year,National accounts reference year,SNA price valuation,Lending category,Other groups,System of National Accounts,Alternative conversion factor,PPP survey year,Balance of Payments Manual in use,External debt Reporting status,System of trade,Government Accounting concept,IMF data dissemination standard,Latest population census,Latest household survey,Source of most recent Income and expenditure data,Vital registration complete,Latest agricultural census,Latest industrial data,Latest trade data,Latest water withdrawal data
DSF,IDA countries in Sub-Saharan Africa classified as fragile situations ,IDA countries in Sub-Saharan Africa classified as fragile situations ,IDA countries in Sub-Saharan Africa classified as fragile situations ,,,IDA countries in Sub-Saharan Africa classified as fragile situations  aggregate.,,,F6,,,,,,,,,,,,,,,,,,,,,
DNS,IDA countries in Sub-Saharan Africa not classified as fragile situations ,IDA countries in Sub-Saharan Africa not classified as fragile situations ,IDA countries in Sub-Saharan Africa not classified as fragile situations ,,,IDA countries in Sub-Saharan Africa not classified as fragile situations  aggregate.,,,N6,,,,,,,,,,,,,,,,,,,,,
DNF,IDA countries not classified as Fragile Situations,IDA countries not classified as Fragile Situations,IDA countries not classified as Fragile Situations,D9,,IDA countries not classified as Fragile Situations aggregate.,,,D9,,,,,,,,,,,,,,,,,,,,,
NXS,"IDA countries not classified as fragile situations, excluding Sub-Saharan Africa","IDA countries not classified as fragile situations, excluding Sub-Saharan Africa","IDA countries not classified as fragile situations, excluding Sub-Saharan Africa",,,"IDA countries not classified as fragile situations, excluding Sub-Saharan Africa aggregate.",,,6N,,,,,,,,,,,,,,,,,,,,,
IDA,IDA total,IDA total,IDA total,XG,,IDA total group aggregate (includes IDA only and IDA blend).,,,XG,,,,,,,,,,,,,,,,,,,,,
DXS,"IDA total, excluding Sub-Saharan Africa","IDA total, excluding Sub-Saharan Africa","IDA total, excluding Sub-Saharan Africa",,,"IDA total, excluding Sub-Saharan Africa aggregate.",,,6D,,,,,,,,,,,,,,,,,,,,,
IND,India,India,Republic of India,IN,Indian rupee,Fiscal year end: March 31; reporting period for national accounts data: FY. April 2013 database update: The India Central Statistical Office revised historical data series both current and constant going back to 1960 with 2004–05 as the base.,South Asia,Lower middle income,IN,2004/05,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology.,,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"Demographic and Health Survey (DHS), 2005/06","Integrated household survey (IHS), 2012",,2011,2009,2012,2010
KEN,Kenya,Kenya,Republic of Kenya,KE,Kenyan shilling,Fiscal year end: June 30; reporting period for national accounts data: CY.,Sub-Saharan Africa,Low income,KE,2001,,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology.,,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2009,"Malaria Indicator Survey (MIS), 2010; HIV/Maternal and Child Health (HIV/MCH) Service Provision Assessments (SPA), 2010","Integrated household survey (IHS), 2005/06",,2009. Population and Housing Census.,2010,2010,2003
KIR,Kiribati,Kiribati,Republic of Kiribati,KI,Australian dollar,"Based on IMF and World Bank data, GDP in current and constant prices have been revised from 2000 onward. Value added components are calculated using shares from the Asian Development Bank.",East Asia & Pacific,Lower middle income,KI,2006,,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology.,,,"IMF Balance of Payments Manual, 6th edition.",,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2010,,,,,,2012,
KSV,Kosovo,Kosovo,Republic of Kosovo,,Euro,"Kosovo became a World Bank member on June 29, 2009. Since 1999, Kosovo has been a territory under international administration pursuant to UN Security Council Resolution 1244 (1999).",Europe & Central Asia,Lower middle income,KV,2008,,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology.,,,,Actual,,,General Data Dissemination System (GDDS),2011,,"Integrated household survey (IHS), 2011",,,,,
KGZ,Kyrgyz Republic,Kyrgyz Republic,Kyrgyz Republic,KG,Kyrgyz som,,Europe & Central Asia,Lower middle income,KG,Original chained constant price data are rescaled.,1995,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,1990–95,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),2009,"Demographic and Health Survey (DHS), 2012","Expenditure survey/budget survey (ES/BS), 2012",Yes,2014,2010,2012,2006
LAO,Lao PDR,Lao PDR,Lao People's Democratic Republic,LA,Lao kip,,East Asia & Pacific,Lower middle income,LA,2002,,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology.,,2005,"IMF Balance of Payments Manual, 6th edition.",Preliminary,Special trade system,Budgetary central government,,2005,"Multiple Indicator Cluster Survey (MICS), 2011/12","Expenditure survey/budget survey (ES/BS), 2008",,2010/11,,,2005
LSO,Lesotho,Lesotho,Kingdom of Lesotho,LS,Lesotho loti,Fiscal year end: March 31; reporting period for national accounts data: CY.,Sub-Saharan Africa,Lower middle income,LS,2004,,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology.,,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),2006,"Demographic and Health Survey (DHS), 2009","Expenditure survey/budget survey (ES/BS), 2002/03",,2010,,2009,2000
LBR,Liberia,Liberia,Republic of Liberia,LR,Liberian dollar,"April 2013 database update: Based on IMF data, national accounts data were revised for 2000 onward; the base year changed to 2000.",Sub-Saharan Africa,Low income,LR,2000,,Value added at producer prices (VAP),IDA,HIPC,Country uses the 1968 System of National Accounts methodology.,,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2008,"Demographic and Health Survey (DHS), 2013","Core Welfare Indicator Questionnaire Survey (CWIQ), 2007",,2008. Population and Housing Census.,,,2000
MDG,Madagascar,Madagascar,Republic of Madagascar,MG,Malagasy ariary,,Sub-Saharan Africa,Low income,MG,1984,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1968 System of National Accounts methodology.,,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,General Data Dissemination System (GDDS),1993,"Malaria Indicator Survey (MIS), 2013","Priority survey (PS), 2010",,,2006,2012,2000
MWI,Malawi,Malawi,Republic of Malawi,MW,Malawi kwacha,"Fiscal year end: March 31; reporting period for national accounts data: CY. Based on IMF data, national accounts data have been revised for 2000 onward; the new base year is 2009.",Sub-Saharan Africa,Low income,MW,2009,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,,General Data Dissemination System (GDDS),2008,"HIV/Maternal and Child Health (HIV/MCH) Service Provision Assessments (SPA), 2013","Integrated household survey (IHS), 2010/11",,2006/ 2007,2009,2011,2005
MDV,Maldives,Maldives,Republic of Maldives,MV,Maldivian rufiyaa,April 2012 database update: The Department of National Planning revised national accounts data for 2000 onward; the base year changed to 2003.,South Asia,Upper middle income,MV,2003,,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology.,,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),2006,"Demographic and Health Survey (DHS), 2009","Integrated household survey (IHS), 2010",Yes,,,2012,2008
MLI,Mali,Mali,Republic of Mali,ML,CFA franc,,Sub-Saharan Africa,Low income,ML,1987,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1968 System of National Accounts methodology.,,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2009,"Demographic and Health Survey (DHS), 2012/13","Integrated household survey (IHS), 2009/10",,,,2012,2000
MHL,Marshall Islands,Marshall Islands,Republic of the Marshall Islands,MH,U.S. dollar,Fiscal year ends on September 30; reporting period for national accounts data: FY.,East Asia & Pacific,Upper middle income,MH,2004,,Value added at basic prices (VAB),IDA,,Country uses the 1968 System of National Accounts methodology.,,,,,General trade system,,,2011,,,,2011. Population and Housing Census.,,,
MRT,Mauritania,Mauritania,Islamic Republic of Mauritania,MR,Mauritanian ouguiya,"April 2012 database update: Based on official government statistics, data were revised for 1991 onward; the base year for constant price series changed to 2004.",Sub-Saharan Africa,Lower middle income,MR,2004,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,,General Data Dissemination System (GDDS),2013,"Multiple Indicator Cluster Survey (MICS), 2011","Integrated household survey (IHS), 2008",,,,2012,2005
FSM,Micronesia,"Micronesia, Fed. Sts.",Federated States of Micronesia,FM,U.S. dollar,"Fiscal year ends on September 30; reporting period for national accounts data: FY. Based on the Pacific and Virgin Islands Training Initiative, national accounts data have been revised from 2009 onward. 2013 estimates are based on the IMF Small States Monitor, Issue 1.2014. In 2010, the government statistical office revised national accounts data for 1995-2008.",East Asia & Pacific,Lower middle income,FM,2004,,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology.,,,,,,,,2010,,"Integrated household survey (IHS), 2000",,,,,
MDA,Moldova,Moldova,Republic of Moldova,MD,Moldovan leu,,Europe & Central Asia,Lower middle income,MD,Original chained constant price data are rescaled.,1996,Value added at basic prices (VAB),Blend,,Country uses the 1993 System of National Accounts methodology.,1990–95,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2004,"Multiple Indicator Cluster Survey (MICS), 2012","Expenditure survey/budget survey (ES/BS), 2012",Yes,2011,2010,2012,2007
MNG,Mongolia,Mongolia,Mongolia,MN,Mongolian tugrik,,East Asia & Pacific,Lower middle income,MN,2005,,Value added at basic prices (VAB),Blend,,Country uses the 1993 System of National Accounts methodology.,,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),2010,"Multiple Indicator Cluster Survey (MICS), 2010","Living Standards Measurement Study Survey (LSMS), 2012",Yes,2012,2008,2007,2009
MOZ,Mozambique,Mozambique,Republic of Mozambique,MZ,New Mozambican metical,,Sub-Saharan Africa,Low income,MZ,2003,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,1992–95,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2007,"Demographic and Health Survey (DHS), 2011","Expenditure survey/budget survey (ES/BS), 2008/09",,2009/ 2010,,2012,2001
MMR,Myanmar,Myanmar,Republic of the Union of Myanmar,MM,Myanmar kyat,Fiscal year end: March 31; reporting period for national accounts data: FY.,East Asia & Pacific,Low income,MM,2005/06,,Value added at producer prices (VAP),IDA,,Country uses the 1968 System of National Accounts methodology.,,,"IMF Balance of Payments Manual, 6th edition.",Estimate,General trade system,Consolidated central government,General Data Dissemination System (GDDS),1983,"Multiple Indicator Cluster Survey (MICS), 2009/10",,,2010,2003,2010,2000
NPL,Nepal,Nepal,Nepal,NP,Nepalese rupee,Fiscal year end: July 14; reporting period for national accounts data: FY.,South Asia,Low income,NP,2000/01,,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology.,,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2011,"Demographic and Health Survey (DHS), 2011","Living Standards Measurement Study Survey (LSMS), 2011",,2011/ 2012,2008,2011,2006
