Country Name,Country Code,Indicator Name,Indicator Code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Angola,AGO,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),IQ.CPA.ENVR.XQ,2.5,3,3,3,3,3,2.5,2.5,2.5,
Angola,AGO,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,2,2,2,2,2,2,2,2,2,
Angola,AGO,CPIA public sector management and institutions cluster average (1=low to 6=high),IQ.CPA.PUBS.XQ,2.4,2.4,2.4,2.4,2.4,2.4,2.3,2.3,2.3,
Angola,AGO,CPIA quality of budgetary and financial management rating (1=low to 6=high),IQ.CPA.FINQ.XQ,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,
Angola,AGO,CPIA quality of public administration rating (1=low to 6=high),IQ.CPA.PADM.XQ,2.5,2.5,2.5,2.5,2.5,2.5,2,2,2,
Angola,AGO,CPIA social protection and labor rating (1=low to 6=high),IQ.CPA.PROT.XQ,2.5,2.5,2.5,2.5,3,2.5,2.5,2.5,2.5,
Angola,AGO,CPIA structural policies cluster average (1=low to 6=high),IQ.CPA.STRC.XQ,2.833333333,2.833333333,2.833333333,2.8,2.833333333,2.833333333,2.666666667,2.666666667,2.666666667,
Angola,AGO,CPIA trade rating (1=low to 6=high),IQ.CPA.TRAD.XQ,4,4,4,4,4,4,3.5,3.5,3.5,
Angola,AGO,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,
Angola,AGO,IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,2.583333333,2.65,2.733333333,2.7,2.783333333,2.758333333,2.691666667,2.666666667,2.666666667,
Armenia,ARM,CPIA building human resources rating (1=low to 6=high),IQ.CPA.HRES.XQ,4,4,4,4,4,4,4,4,4,
Armenia,ARM,CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,4,4,4,4,4,4,4,4,4.5,
Armenia,ARM,CPIA debt policy rating (1=low to 6=high),IQ.CPA.DEBT.XQ,5.5,5.5,6,6,5,4.5,4.5,4.5,4,
Armenia,ARM,CPIA economic management cluster average (1=low to 6=high),IQ.CPA.ECON.XQ,5.333333333,5.333333333,5.5,5.5,5,4.666666667,4.666666667,4.666666667,4.5,
Armenia,ARM,CPIA efficiency of revenue mobilization rating (1=low to 6=high),IQ.CPA.REVN.XQ,4,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,
Armenia,ARM,CPIA equity of public resource use rating (1=low to 6=high),IQ.CPA.PRES.XQ,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,
Armenia,ARM,CPIA financial sector rating (1=low to 6=high),IQ.CPA.FINS.XQ,3.5,3.5,3.5,4,4,3.5,4,4,4,
Armenia,ARM,CPIA fiscal policy rating (1=low to 6=high),IQ.CPA.FISP.XQ,5,5,5,5,5,5,5,5,5,
Armenia,ARM,CPIA gender equality rating (1=low to 6=high),IQ.CPA.GNDR.XQ,4.5,4.5,4.5,4.5,4.5,4.5,4,4.5,4.5,
Armenia,ARM,CPIA macroeconomic management rating (1=low to 6=high),IQ.CPA.MACR.XQ,5.5,5.5,5.5,5.5,5,4.5,4.5,4.5,4.5,
Armenia,ARM,CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,4.2,4.2,4.2,4.1,4.1,4.1,4,4,4,
Armenia,ARM,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),IQ.CPA.ENVR.XQ,3.5,3.5,3.5,3,3,3,3,3,3,
Armenia,ARM,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,
Armenia,ARM,CPIA public sector management and institutions cluster average (1=low to 6=high),IQ.CPA.PUBS.XQ,3.8,3.7,3.7,3.7,3.7,3.7,3.6,3.7,3.7,
Armenia,ARM,CPIA quality of budgetary and financial management rating (1=low to 6=high),IQ.CPA.FINQ.XQ,4,4,4,4.5,4.5,4.5,4.5,4.5,4.5,
Armenia,ARM,CPIA quality of public administration rating (1=low to 6=high),IQ.CPA.PADM.XQ,4,4,4,4,4,4,3.5,3.5,3.5,
Armenia,ARM,CPIA social protection and labor rating (1=low to 6=high),IQ.CPA.PROT.XQ,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4,4,
Armenia,ARM,CPIA structural policies cluster average (1=low to 6=high),IQ.CPA.STRC.XQ,4,4,4,4.2,4.166666667,4,4,4.166666667,4.333333333,
Armenia,ARM,CPIA trade rating (1=low to 6=high),IQ.CPA.TRAD.XQ,4.5,4.5,4.5,4.5,4.5,4.5,4,4.5,4.5,
Armenia,ARM,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,2.5,3.5,3.5,3,3,3,3,3.5,3.5,
Armenia,ARM,IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,4.333333333,4.308333333,4.35,4.4,4.241666667,4.116666667,4.066666667,4.133333333,4.133333333,
Bangladesh,BGD,CPIA building human resources rating (1=low to 6=high),IQ.CPA.HRES.XQ,4,4,4,4,4,4,4,4,4,4
Bangladesh,BGD,CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Bangladesh,BGD,CPIA debt policy rating (1=low to 6=high),IQ.CPA.DEBT.XQ,4.5,4.5,4.5,4.5,4,4,3.5,3.5,3.5,4
Bangladesh,BGD,CPIA economic management cluster average (1=low to 6=high),IQ.CPA.ECON.XQ,4,4,4,4.2,4,4,3.5,3.5,3.5,3.83333
Bangladesh,BGD,CPIA efficiency of revenue mobilization rating (1=low to 6=high),IQ.CPA.REVN.XQ,3,3,3,3,3,3,3,3,3,3
Bangladesh,BGD,CPIA equity of public resource use rating (1=low to 6=high),IQ.CPA.PRES.XQ,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4
Bangladesh,BGD,CPIA financial sector rating (1=low to 6=high),IQ.CPA.FINS.XQ,3,3,3,3,3.5,3.5,3,3,2.5,2.5
Bangladesh,BGD,CPIA fiscal policy rating (1=low to 6=high),IQ.CPA.FISP.XQ,3.5,3.5,3.5,4,4,4,3.5,3.5,3.5,3.5
Bangladesh,BGD,CPIA gender equality rating (1=low to 6=high),IQ.CPA.GNDR.XQ,4,4,4,4,4,4,3.5,3.5,3.5,3.5
Bangladesh,BGD,CPIA macroeconomic management rating (1=low to 6=high),IQ.CPA.MACR.XQ,4,4,4,4,4,4,3.5,3.5,3.5,4
Bangladesh,BGD,CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,3.6,3.6,3.6,3.6,3.6,3.6,3.4,3.4,3.5,3.6
Bangladesh,BGD,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),IQ.CPA.ENVR.XQ,3,3,3,3,3,3,2.5,2.5,3,3
Bangladesh,BGD,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,3,2.5,3,3,3,3,3,3,3,3
Bangladesh,BGD,CPIA public sector management and institutions cluster average (1=low to 6=high),IQ.CPA.PUBS.XQ,2.9,2.8,3,3,3,3,2.9,2.9,2.9,2.9
Bangladesh,BGD,CPIA quality of budgetary and financial management rating (1=low to 6=high),IQ.CPA.FINQ.XQ,3,3,3,3,3,3,3,3,3,3
Bangladesh,BGD,CPIA quality of public administration rating (1=low to 6=high),IQ.CPA.PADM.XQ,3,3,3,3,3,3,3,3,3,3
Bangladesh,BGD,CPIA social protection and labor rating (1=low to 6=high),IQ.CPA.PROT.XQ,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Bangladesh,BGD,CPIA structural policies cluster average (1=low to 6=high),IQ.CPA.STRC.XQ,3.166666667,3.333333333,3.333333333,3.3,3.5,3.333333333,3.333333333,3.333333333,3.166666667,3.16667
Bangladesh,BGD,CPIA trade rating (1=low to 6=high),IQ.CPA.TRAD.XQ,3,3.5,3.5,3.5,3.5,3,3.5,3.5,3.5,3.5
Bangladesh,BGD,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,2.5,2.5,3,3,3,3,2.5,2.5,2.5,2.5
Bangladesh,BGD,IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,3.416666667,3.433333333,3.483333333,3.5,3.525,3.483333333,3.283333333,3.283333333,3.266666667,3.375
Benin,BEN,CPIA building human resources rating (1=low to 6=high),IQ.CPA.HRES.XQ,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Benin,BEN,CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,4,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Benin,BEN,CPIA debt policy rating (1=low to 6=high),IQ.CPA.DEBT.XQ,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4
Benin,BEN,CPIA economic management cluster average (1=low to 6=high),IQ.CPA.ECON.XQ,4,4,4,4,3.666666667,3.5,3.5,3.666666667,3.833333333,3.83333
Benin,BEN,CPIA efficiency of revenue mobilization rating (1=low to 6=high),IQ.CPA.REVN.XQ,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Benin,BEN,CPIA equity of public resource use rating (1=low to 6=high),IQ.CPA.PRES.XQ,3,3,3,3,3,3.5,3.5,3.5,3.5,3.5
Benin,BEN,CPIA financial sector rating (1=low to 6=high),IQ.CPA.FINS.XQ,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3,3,3
Benin,BEN,CPIA fiscal policy rating (1=low to 6=high),IQ.CPA.FISP.XQ,4,4,4,4,3.5,3,3,3,3.5,3.5
Benin,BEN,CPIA gender equality rating (1=low to 6=high),IQ.CPA.GNDR.XQ,3,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Benin,BEN,CPIA macroeconomic management rating (1=low to 6=high),IQ.CPA.MACR.XQ,4.5,4.5,4.5,4.5,4,4,4,4,4,4
Benin,BEN,CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,3.2,3.2,3.3,3.3,3.3,3.4,3.4,3.4,3.4,3.4
Benin,BEN,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),IQ.CPA.ENVR.XQ,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Benin,BEN,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,3,3,3,3,3,3,3,3,3,3
Benin,BEN,CPIA public sector management and institutions cluster average (1=low to 6=high),IQ.CPA.PUBS.XQ,3.4,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3
Benin,BEN,CPIA quality of budgetary and financial management rating (1=low to 6=high),IQ.CPA.FINQ.XQ,4,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Benin,BEN,CPIA quality of public administration rating (1=low to 6=high),IQ.CPA.PADM.XQ,3,3,3,3,3,3,3,3,3,3
Benin,BEN,CPIA social protection and labor rating (1=low to 6=high),IQ.CPA.PROT.XQ,3,3,3,3,3,3,3,3,3,3
Benin,BEN,CPIA structural policies cluster average (1=low to 6=high),IQ.CPA.STRC.XQ,4,3.833333333,3.666666667,3.7,3.666666667,3.666666667,3.666666667,3.5,3.5,3.5
Benin,BEN,CPIA trade rating (1=low to 6=high),IQ.CPA.TRAD.XQ,4.5,4.5,4,4,4,4,4,4,4,4
Benin,BEN,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Benin,BEN,IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,3.65,3.583333333,3.566666667,3.6,3.483333333,3.466666667,3.466666667,3.466666667,3.508333333,3.50833
Bhutan,BTN,CPIA building human resources rating (1=low to 6=high),IQ.CPA.HRES.XQ,4.5,4.5,4.5,4,4,4.5,4.5,4.5,4.5,4.5
Bhutan,BTN,CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Bhutan,BTN,CPIA debt policy rating (1=low to 6=high),IQ.CPA.DEBT.XQ,4,4,4.5,4.5,4.5,4.5,4.5,4,4,4
Bhutan,BTN,CPIA economic management cluster average (1=low to 6=high),IQ.CPA.ECON.XQ,4,4.166666667,4.5,4.5,4.5,4.5,4.166666667,3.666666667,3.666666667,3.83333
Bhutan,BTN,CPIA efficiency of revenue mobilization rating (1=low to 6=high),IQ.CPA.REVN.XQ,4,4,4,4,4,4,4,4,4,4
Bhutan,BTN,CPIA equity of public resource use rating (1=low to 6=high),IQ.CPA.PRES.XQ,4,4,4,4,4,4,4.5,4.5,4.5,4.5
Bhutan,BTN,CPIA financial sector rating (1=low to 6=high),IQ.CPA.FINS.XQ,3,3,3,3,3,3,3.5,3,3,3.5
Bhutan,BTN,CPIA fiscal policy rating (1=low to 6=high),IQ.CPA.FISP.XQ,4,4,4.5,4.5,4.5,4.5,4,3.5,3.5,3.5
Bhutan,BTN,CPIA gender equality rating (1=low to 6=high),IQ.CPA.GNDR.XQ,4.5,4,4,4,4,4,4,4,4,4
Bhutan,BTN,CPIA macroeconomic management rating (1=low to 6=high),IQ.CPA.MACR.XQ,4,4.5,4.5,4.5,4.5,4.5,4,3.5,3.5,4
Bhutan,BTN,CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,4.2,4.1,4.1,4,4,4.1,4,4,4,4
Bhutan,BTN,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),IQ.CPA.ENVR.XQ,4.5,4.5,4.5,4.5,4.5,4.5,4,4,4,4
Bhutan,BTN,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Bhutan,BTN,CPIA public sector management and institutions cluster average (1=low to 6=high),IQ.CPA.PUBS.XQ,3.8,3.8,3.8,3.8,3.9,3.9,3.9,3.9,3.9,3.9
Bhutan,BTN,CPIA quality of budgetary and financial management rating (1=low to 6=high),IQ.CPA.FINQ.XQ,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Bhutan,BTN,CPIA quality of public administration rating (1=low to 6=high),IQ.CPA.PADM.XQ,4,4,4,4,4,4,4,4,4,4
Bhutan,BTN,CPIA social protection and labor rating (1=low to 6=high),IQ.CPA.PROT.XQ,3.5,3.5,3.5,3.5,3.5,3.5,3,3,3,3
Bhutan,BTN,CPIA structural policies cluster average (1=low to 6=high),IQ.CPA.STRC.XQ,3.166666667,3.166666667,3.166666667,3.2,3.166666667,3.166666667,3.333333333,3.166666667,3.166666667,3.33333
Bhutan,BTN,CPIA trade rating (1=low to 6=high),IQ.CPA.TRAD.XQ,3,3,3,3,3,3,3,3,3,3
Bhutan,BTN,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,4,4,4,4,4.5,4.5,4.5,4.5,4.5,4.5
Bhutan,BTN,IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,3.791666667,3.808333333,3.891666667,3.9,3.891666667,3.916666667,3.85,3.683333333,3.683333333,3.76667
Bolivia,BOL,CPIA building human resources rating (1=low to 6=high),IQ.CPA.HRES.XQ,4,4.5,4,4,4,4,3.5,3.5,3.5,3.5
Bolivia,BOL,CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,3,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Bolivia,BOL,CPIA debt policy rating (1=low to 6=high),IQ.CPA.DEBT.XQ,4,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
Bolivia,BOL,CPIA economic management cluster average (1=low to 6=high),IQ.CPA.ECON.XQ,4,4.166666667,4.166666667,4.2,4.166666667,4.166666667,4,4,4,4
Bolivia,BOL,CPIA efficiency of revenue mobilization rating (1=low to 6=high),IQ.CPA.REVN.XQ,4,4,4,4,4,4,4,4,4,4
Bolivia,BOL,CPIA equity of public resource use rating (1=low to 6=high),IQ.CPA.PRES.XQ,4,4,4,4,4,4,4,4,4,4
Bolivia,BOL,CPIA financial sector rating (1=low to 6=high),IQ.CPA.FINS.XQ,3.5,3.5,3.5,4,4,3.5,3.5,3.5,3,3
Bolivia,BOL,CPIA fiscal policy rating (1=low to 6=high),IQ.CPA.FISP.XQ,4,4,4,4,4,4,4,4,4,4
Bolivia,BOL,CPIA gender equality rating (1=low to 6=high),IQ.CPA.GNDR.XQ,3.5,4,4,4,4,4,4,4,4,4
Bolivia,BOL,CPIA macroeconomic management rating (1=low to 6=high),IQ.CPA.MACR.XQ,4,4,4,4,4,4,3.5,3.5,3.5,3.5
Bolivia,BOL,CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,,,,3.8,3.8,3.8,3.7,3.8,3.7,3.7
Bolivia,BOL,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),IQ.CPA.ENVR.XQ,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Bolivia,BOL,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Bolivia,BOL,CPIA public sector management and institutions cluster average (1=low to 6=high),IQ.CPA.PUBS.XQ,3.3,3.3,3.3,3.3,3.3,3.3,3.2,3.2,3.2,3.2
Bolivia,BOL,CPIA quality of budgetary and financial management rating (1=low to 6=high),IQ.CPA.FINQ.XQ,3.5,3.5,3.5,3.5,3.5,3.5,3,3,3,3
Bolivia,BOL,CPIA quality of public administration rating (1=low to 6=high),IQ.CPA.PADM.XQ,3.5,3,3,3,3,3,3,3,3,3
Bolivia,BOL,CPIA social protection and labor rating (1=low to 6=high),IQ.CPA.PROT.XQ,,,,3.5,3.5,3.5,3.5,4,3.5,3.5
Bolivia,BOL,CPIA structural policies cluster average (1=low to 6=high),IQ.CPA.STRC.XQ,3.833333333,3.666666667,3.666666667,3.8,3.833333333,3.666666667,3.5,3.5,3.333333333,3.33333
Bolivia,BOL,CPIA trade rating (1=low to 6=high),IQ.CPA.TRAD.XQ,5,5,5,5,5,5,4.5,4.5,4.5,4.5
Bolivia,BOL,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Bolivia,BOL,IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,3.708333333,3.733333333,3.733333333,3.8,3.775,3.733333333,3.6,3.625,3.558333333,3.55833
Bosnia and Herzegovina,BIH,CPIA building human resources rating (1=low to 6=high),IQ.CPA.HRES.XQ,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,
Bosnia and Herzegovina,BIH,CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,3.5,3.5,4,4,4,4,3.5,3.5,3.5,
Bosnia and Herzegovina,BIH,CPIA debt policy rating (1=low to 6=high),IQ.CPA.DEBT.XQ,4,4,4,4,4,4,4,4,4,
Bosnia and Herzegovina,BIH,CPIA economic management cluster average (1=low to 6=high),IQ.CPA.ECON.XQ,3.833333333,4,4,3.8,3.833333333,3.833333333,3.833333333,3.833333333,3.833333333,
Bosnia and Herzegovina,BIH,CPIA efficiency of revenue mobilization rating (1=low to 6=high),IQ.CPA.REVN.XQ,4,4.5,4,4,4,4,4,4,4,
Bosnia and Herzegovina,BIH,CPIA equity of public resource use rating (1=low to 6=high),IQ.CPA.PRES.XQ,3,3,3,3,3.5,3.5,3.5,3.5,3.5,
Bosnia and Herzegovina,BIH,CPIA financial sector rating (1=low to 6=high),IQ.CPA.FINS.XQ,4,4,4,4,4,4,4,4,3.5,
Bosnia and Herzegovina,BIH,CPIA fiscal policy rating (1=low to 6=high),IQ.CPA.FISP.XQ,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,
Bosnia and Herzegovina,BIH,CPIA gender equality rating (1=low to 6=high),IQ.CPA.GNDR.XQ,4,4.5,4.5,4.5,4.5,4.5,4,4,4,
Bosnia and Herzegovina,BIH,CPIA macroeconomic management rating (1=low to 6=high),IQ.CPA.MACR.XQ,4,4.5,4.5,4,4,4,4,4,4,
Bosnia and Herzegovina,BIH,CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,3.4,3.6,3.6,3.6,3.7,3.7,3.6,3.6,3.6,
Bosnia and Herzegovina,BIH,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),IQ.CPA.ENVR.XQ,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,
Bosnia and Herzegovina,BIH,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,3,3,3,3,3,3,3,3,3,
Bosnia and Herzegovina,BIH,CPIA public sector management and institutions cluster average (1=low to 6=high),IQ.CPA.PUBS.XQ,3.3,3.4,3.3,3.3,3.3,3.3,3.3,3.3,3.3,
Bosnia and Herzegovina,BIH,CPIA quality of budgetary and financial management rating (1=low to 6=high),IQ.CPA.FINQ.XQ,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,
Bosnia and Herzegovina,BIH,CPIA quality of public administration rating (1=low to 6=high),IQ.CPA.PADM.XQ,3,3,3,3,3,3,3,3,3,
Bosnia and Herzegovina,BIH,CPIA social protection and labor rating (1=low to 6=high),IQ.CPA.PROT.XQ,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,
Bosnia and Herzegovina,BIH,CPIA structural policies cluster average (1=low to 6=high),IQ.CPA.STRC.XQ,3.833333333,3.666666667,3.833333333,4,4,4,3.833333333,3.833333333,3.666666667,
Bosnia and Herzegovina,BIH,CPIA trade rating (1=low to 6=high),IQ.CPA.TRAD.XQ,4,3.5,3.5,4,4,4,4,4,4,
Bosnia and Herzegovina,BIH,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,3,3,3,3,3,3,3,3,3,
